               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11639,            0.017335,            0.027564,          0.00019462,            0.055292,          0.00010894,          2.7339e-05,             0.10539,            0.010445,            0.026979,            0.070588,            0.003268,            0.003268
                   1,             0.11012,            0.018104,            0.025725,          0.00025927,             0.06692,          0.00016109,          4.5278e-05,             0.10135,            0.010921,            0.026567,            0.040566,           0.0065795,           0.0065795
                   2,             0.10615,            0.018651,            0.024157,           0.0014443,            0.010204,          0.00028079,          5.5803e-05,             0.11144,            0.010966,              0.0437,            0.010523,           0.0098691,           0.0098691
                   3,             0.10322,            0.018962,            0.021785,          0.00013852,            0.017442,          7.5774e-05,          1.7635e-05,                 nan,                 nan,             0.27401,            0.009901,            0.009901,            0.009901
                   4,            0.097695,            0.018924,            0.019696,           0.0013808,             0.15306,           0.0010089,          0.00016342,              0.1254,            0.037793,             0.33811,            0.009901,            0.009901,            0.009901
                   5,            0.089047,            0.019145,            0.017892,          0.00014212,             0.11224,          0.00011818,          1.8616e-05,             0.12963,            0.028096,             0.27758,            0.009868,            0.009868,            0.009868
                   6,            0.080338,             0.02002,             0.01512,            0.031284,             0.12245,            0.012037,           0.0023956,             0.10122,            0.046609,            0.075105,            0.009835,            0.009835,            0.009835
                   7,            0.074285,            0.019059,            0.011026,             0.56476,            0.091837,             0.03735,            0.011839,            0.084104,           0.0099378,            0.015368,            0.009802,            0.009802,            0.009802
                   8,            0.071137,            0.018329,           0.0095318,           0.0025416,            0.061224,           0.0012824,          0.00013398,              0.1104,            0.026898,            0.078124,            0.009769,            0.009769,            0.009769
                   9,            0.067104,            0.016956,           0.0084262,           3.876e-05,            0.030612,          2.0624e-05,          2.7223e-06,             0.13414,            0.050751,             0.31982,            0.009736,            0.009736,            0.009736
                  10,            0.065831,            0.017004,           0.0069291,             0.58347,            0.040816,            0.035506,           0.0075317,             0.10477,            0.036192,            0.088835,            0.009703,            0.009703,            0.009703
                  11,            0.062945,            0.015616,           0.0064438,             0.15709,             0.18071,             0.10219,            0.034481,             0.07538,            0.009437,            0.018154,             0.00967,             0.00967,             0.00967
                  12,            0.059846,            0.015935,           0.0052998,             0.26515,             0.31621,             0.17742,            0.066888,            0.066263,           0.0095555,           0.0046571,            0.009637,            0.009637,            0.009637
                  13,            0.057817,            0.015714,           0.0052037,           0.0014956,            0.056834,           0.0004071,          8.6461e-05,             0.10968,              0.1283,            0.099814,            0.009604,            0.009604,            0.009604
                  14,            0.056283,            0.014669,           0.0048725,             0.59649,             0.22245,             0.12555,            0.056353,            0.089708,           0.0076756,            0.039191,            0.009571,            0.009571,            0.009571
                  15,            0.054683,            0.014327,           0.0041916,             0.18298,             0.24535,             0.10058,            0.034402,            0.085479,            0.014988,            0.028222,            0.009538,            0.009538,            0.009538
                  16,            0.053039,            0.014066,           0.0044386,             0.14465,             0.05102,            0.033218,              0.0113,             0.10091,            0.022774,             0.06666,            0.009505,            0.009505,            0.009505
                  17,            0.051397,            0.013558,           0.0037669,             0.21289,              0.2462,              0.1142,            0.037103,            0.088002,            0.013871,            0.021936,            0.009472,            0.009472,            0.009472
                  18,            0.050361,            0.013094,           0.0035148,            0.044119,            0.020408,            0.012822,           0.0049584,            0.099749,            0.015641,            0.027996,            0.009439,            0.009439,            0.009439
                  19,            0.048541,            0.012718,           0.0039498,             0.32595,             0.23458,             0.13941,            0.043455,            0.074495,           0.0099012,           0.0054781,            0.009406,            0.009406,            0.009406
                  20,            0.047587,            0.012871,           0.0031653,              0.2739,             0.41801,             0.22106,              0.1077,            0.062838,           0.0095167,           0.0095026,            0.009373,            0.009373,            0.009373
                  21,            0.047761,            0.012147,           0.0027226,             0.14244,             0.12245,            0.068902,            0.019657,            0.091385,            0.010473,            0.020401,             0.00934,             0.00934,             0.00934
                  22,            0.046556,            0.012223,           0.0029409,             0.35861,              0.3117,             0.23755,             0.11253,            0.061463,            0.010226,           0.0079297,            0.009307,            0.009307,            0.009307
                  23,            0.046063,            0.012282,           0.0030048,             0.43664,              0.5636,             0.37386,             0.19058,            0.053876,           0.0083024,           0.0034017,            0.009274,            0.009274,            0.009274
                  24,            0.044208,            0.012043,           0.0024479,             0.50145,             0.79485,             0.50995,              0.2905,            0.039168,           0.0081678,           0.0023625,            0.009241,            0.009241,            0.009241
                  25,            0.044832,            0.011638,           0.0026181,              0.6804,             0.27551,             0.17943,            0.071351,            0.079262,           0.0091444,            0.098705,            0.009208,            0.009208,            0.009208
                  26,             0.04371,            0.011304,           0.0022617,             0.40014,             0.48054,             0.31207,             0.13155,            0.061978,           0.0086845,           0.0035364,            0.009175,            0.009175,            0.009175
                  27,              0.0437,            0.011577,           0.0028261,             0.20044,             0.25356,             0.14112,            0.052119,             0.08244,            0.012667,            0.018297,            0.009142,            0.009142,            0.009142
                  28,             0.04272,            0.011335,           0.0024017,              0.3854,             0.42395,             0.29394,            0.095295,             0.06398,           0.0091521,           0.0043791,            0.009109,            0.009109,            0.009109
